,author,published_at,title,description,url
85,Andrew G. Simpson,2021-02-22T16:02:16Z,Federal Flood Insurance Premiums Far From Keeping Up With Expected Losses,"If the nearly 4.3 million residential homes (1-4 units) across the country with substantial flood risk were to be insured through the National Flood Insurance Program (NFIP), the NFIP rates would need to increase 4.5 times to cover the risk …",https://www.insurancejournal.com/news/national/2021/02/22/602212.htm
86,Harrison Raine,2021-03-22T16:16:05Z,The Writing Is On the Wall for the 2021 Wildfire Season,A working hotshot ponders what a dry winter means for this and future summers in the West.,https://www.adventure-journal.com/2021/03/the-writing-is-on-the-wall-for-the-2021-wildfire-season/
87,,2021-02-23T18:55:13Z,Alaska thunderstorms may triple with climate change,"Warming temperatures will potentially alter the climate in Alaska so profoundly later this century that the number of thunderstorms will triple, increasing the risks of widespread flash flooding, landslides, and lightning-induced wildfires, new research finds.",https://www.sciencedaily.com/releases/2021/02/210223135513.htm
88,newsfeeds@nzherald.co.nz,2021-03-09T23:10:44Z,Climate change: Local council unsatisfied with government action,"Local councils re finding holes in central government's ""adaptation armour"" and are looking for ways to make short term change.Masterton district councillor Chris Peterson said not enough was being done to tackle climate change...",https://www.nzherald.co.nz/nz/climate-change-local-council-unsatisfied-with-government-action/VNXA4YNRUY7EOIQZIY34ZA7EJ4/
89,Louise Carey,2021-03-01T14:15:19Z,Every camera on the Mars Perseverance rover from NASA explained - Digital Camera World,Every camera on the Mars Perseverance rover from NASA explained  Digital Camera WorldView Full coverage on Google News,https://www.digitalcameraworld.com/uk/news/these-are-all-the-cameras-on-nasas-mars-perseverance-rover
90,"Griff Witte, Abigail Hauslohner, Emily Wax-Thibodeaux",2021-03-13T15:02:10Z,A series of crises expose deepening divides across America - The Washington Post,"In recent months in the U.S., historic breakthroughs have come alongside monumental failures of infrastructure and healthcare.",https://www.washingtonpost.com/nation/interactive/2021/america-growing-disparities/
91,,2021-02-25T19:38:19Z,Post-wildfire landslides becoming more frequent in southern California,"Southern California can now expect to see post-wildfire landslides occurring almost every year, with major events expected roughly every ten years, a new study finds. The results show Californians are now facing a double whammy of increased wildfire and lands…",https://www.sciencedaily.com/releases/2021/02/210225143819.htm
92,Benjamin Bullard,2021-03-06T00:05:00Z,NASA Mars Perseverance takes first wheeled spin across Martian landscape,"Talk about small steps that lead to giant leaps. In a quick driving test that NASA is describing as a “major milestone” for its Mars 2020 Perseverance rover, the freshly-landed craft just made its first tracks on Martian dust, driving a short distance in prep…",https://www.syfy.com/syfywire/nasa-mars-perseverance-first-test-drive
93,Yves Smith,2021-03-15T08:11:34Z,Nomi Prins: To Build or Not to Build? The Infrastructure Question,"For all sorts of bad reasons, American has a huge infrastructure spending backlog. But can we even do the job well?",https://www.nakedcapitalism.com/2021/03/nomi-prins-to-build-or-not-to-build-the-infrastructure-question.html
94,JOHN FLESHER AP Environmental Writer,2021-03-15T18:07:14Z,Scientists: Climate-whipped winds pose Great Lakes hazards,A newly published report says powerful wind gusts linked to global warming are harming water quality in Lake Erie and perhaps elsewhere in the Great Lakes,https://abcnews.go.com/US/wireStory/scientists-climate-whipped-winds-pose-great-lakes-hazards-76472039
95,"Jackie Wattles, CNN Business",2021-03-05T20:05:21Z,Virgin Galactic stock tanks as chairman cashes out $200 million personal stake,"Shares of Virgin Galactic, the suborbital space tourism venture founded by British billionaire Richard Branson, plummeted Friday after the company's chairman dumped his personal stake in the company.",https://www.cnn.com/2021/03/05/tech/virgin-galactic-stock-chamath-palihapitiya-scn/index.html
96,Vinson Kurian,2021-02-28T13:23:09Z,"Glacier bursts are a cascading risk, says UNESCAP","Himalayas, Hindu Kush-Karakoram, Tien Shan at risk",https://www.thehindubusinessline.com/news/glacier-bursts-are-a-cascading-risk-says-unescap/article33955203.ece
97,Boston Herald editorial staff,2021-02-28T03:12:16Z,Letters to the editor,"Mail-in ballots I have a suggestion for the Massachusetts Democratic leadership — let’s do away with elections. And Democrats can appoint themselves. Speaker Mariano states, “The House looks to make mail-in ballots a permanent way to vote.” Secretary of State…",https://www.bostonherald.com/2021/02/27/letters-to-the-editor-219/
98,NBC Sports,2021-03-03T05:32:50Z,Edey helps No. 23 Purdue hold off No. 25 Wisconsin 73-69,Freshman Zach Edey scored a career-high 21 points and Jaden Ivey added 18 to help No. 23 Purdue hold on for a 73-69 victory over No. 25 Wisconsin on Tuesday night.,https://sports.yahoo.com/edey-helps-no-23-purdue-053250401.html
99,,2021-03-21T05:00:00Z,The Battle of Burbank,"It’s believed the Battle of Lexington and Concord was the fight that set off the American Revolution. While a battle at Burbank, California has received less notice, to me it is inspiring -- a community’s refusal to bow to petty, irr...",https://www.americanthinker.com/articles/2021/03/the_battle_of_burbank_.html
